nama_barang,tipe,rata_rata_per_hari,frekuensi_total,tanggal_terakhir_digunakan,id_barang
Air hangat (dalam baskom) Sabun cair / sabun mandi Waslap / kain lap,bahan,1.0,1,2025-11-03,B943221
Air hangat NaCl 0,bahan,1.0,1,2025-02-25,B145588
Air hangat Sabun Sampo Spons,bahan,1.0,1,2025-03-11,B191523
Air hangat Sabun Sampo Spons Baju ganti,bahan,1.0,2,2025-04-11,B621179
Air hangat Sampo,bahan,1.0,2,2025-03-18,B680541
Air hangat sabun,bahan,1.0,1,2025-01-31,B276507
Air hangat sabun Handscoon bersih,bahan,1.25,4,2025-12-02,B367464
Air hangat sabun Handscoon bersih Masker,bahan,1.5,4,2025-10-02,B823751
Air minum,alat,1.0,1,2025-12-05,A065259
Air minum,bahan,4.5,4,2025-12-09,B065259
Air minum (biasa),alat,1.0,1,2025-08-27,A412702
Air minum (biasa),bahan,1.0,1,2025-08-27,B412702
Air minum (biasa) (1 pcs),alat,1.0,1,2025-08-28,A350659
Air minum (biasa) (1 pcs),bahan,1.0,1,2025-08-28,B350659
Air steril atau NaCl 0,bahan,1.0,2,2025-11-08,B966674
Alas (handuk atau perlak),alat,1.0,1,2025-03-20,A780459
Alas anti slip,bahan,1.0,1,2025-01-22,B076123
Alas anti slip Sandal/sepatu pasien Pakaian bersih Handuk,bahan,1.0,5,2025-01-30,B322471
Alas bermain / matras,alat,1.0,1,2025-08-13,A513391
Alas bermain / matras Timbangan bayi/anak,alat,1.0,5,2025-10-31,A247396
Alas bokong (perlak dan alasnya),alat,1.0,1,2025-02-27,A716858
Alas bokong atau perlak,alat,1.0,6,2025-12-11,A219461
Alas box bayi 1 pcs,bahan,1.0,1,2025-08-10,B074053
Alas box bayi 1 pcs Sarung tangan 1 kotak Handuk bayi 2,bahan,1.0,1,2025-07-10,B453260
Alas makan/celemek (1pcs) Baki (1pcs),bahan,1.0,1,2025-03-11,B801231
Alat,alat,1.0,3,2025-07-30,A542029
Alat Batuk Efektif,alat,1.5,2,2025-12-09,A173188
Alat EKG,alat,1.0,1,2025-08-12,A804008
Alat Gluko cek (1 Pcs),alat,1.0,1,2025-02-17,A710233
Alat Nebulizer,alat,2.33,3,2025-12-09,A444012
Alat Perawatan Luka,alat,1.0,2,2025-04-30,A049071
Alat Skin Traksi,alat,1.0,2,2025-02-20,A248295
Alat Skin Traksi,bahan,1.0,1,2025-02-20,B248295
Alat Suction,alat,2.0,3,2025-12-09,A564582
Alat Transfusi,alat,2.33,3,2025-12-09,A582749
Alat angkat dan imobilisasi (misalnya scoop stretcher),alat,1.0,1,2025-07-05,A426777
Alat angkat dan imobilisasi (misalnya scoop stretcher),bahan,1.0,1,2025-07-05,B426777
Alat angkat/ganjal jika diperlukan untuk elevasi,alat,1.0,1,2025-04-24,A234105
Alat angkat/ganjal jika diperlukan untuk elevasi,bahan,1.0,1,2025-04-24,B234105
Alat cek Hb (Hb meter),alat,1.0,1,2025-06-09,A848936
Alat cek gula darah (glukometer),alat,1.0,1,2025-06-09,A857375
Alat cukur,alat,1.0,3,2025-11-18,A033054
Alat cukur,bahan,1.0,1,2025-11-18,B033054
Alat cukur (clipper),alat,1.0,1,2025-01-22,A182711
Alat cukur (clipper) Lampu periksa Nierbekken,alat,1.0,3,2025-01-22,A956297
Alat cukur Handscoon Gunting Sketsel / tirai Handuk Kasa,alat,1.0,1,2025-10-31,A144591
Alat cukur Handscoon Gunting Sketsel / tirai Handuk Kasa,bahan,1.0,1,2025-10-31,B144591
Alat hitung RR (bila terpisah) Meja periksa / bed,alat,1.0,1,2025-01-10,A604470
Alat irigasi telinga dengan penghisap Lorset telinga,alat,1.0,1,2025-02-13,A464517
Alat kompres,alat,1.0,1,2025-11-14,A040664
Alat makan,alat,1.0,1,2025-03-14,A181900
Alat mandi,alat,1.0,1,2025-03-14,A852648
Alat mandi 1,alat,1.0,3,2025-08-04,A729407
Alat pelindung diri (APD) dasar sarung tangan,alat,1.0,1,2025-06-05,A945584
Alat pelindung diri (APD) dasar sarung tangan,bahan,1.0,1,2025-06-05,B945584
Alat pemantau dan perekam suhu kontinu Indikator paparan suhu beku,alat,1.0,1,2025-08-13,A436209
Alat pemantau suhu,alat,1.0,1,2025-08-13,A013942
Alat pemeriksaan dalam Kasa steril,bahan,1.5,2,2025-10-27,B742147
Alat penggosok gigi Pakaian bersih Sisir,alat,1.0,1,2025-03-13,A050673
Alat pengukur berat badan(1) Abbocath(4),alat,1.0,1,2025-09-09,A592789
Alat pengukur tinggi Meteran Tensimeter Stetoskop Termometer Obatan tablet,alat,1.0,1,2025-11-17,A037917
Alat pengukur tinggi badan clan panjang badan,alat,1.0,1,2025-09-18,A359650
Alat penyimpanan dan transportasi,alat,1.0,1,2025-08-15,A152127
Alat peraga gelas berisi susu,alat,1.0,2,2025-11-08,A227951
Alat peraga makan dan minum,alat,1.0,2,2025-11-21,A799354
Alat perawatan luka,alat,1.0,3,2025-04-29,A945649
Alat perawatan luka,bahan,1.0,1,2025-02-20,B945649
Alat perawatan luka (1 pcs),alat,1.0,1,2025-02-18,A510340
Alat skintraksi (seperti alat penarik kulit),alat,1.0,1,2025-11-21,A549081
Alat suction,alat,1.5,2,2025-12-09,A894318
Alat suction Alat nebulizer,alat,1.0,1,2025-09-17,A987483
Alat tensimeter yang digital (2pcs) Alat tensimeter yang manual (2pcs) Sphygmomanometer air raksa (2pcs) Stetoskop (2pcs),alat,1.0,1,2025-06-02,A698605
Alat transportasi (tandu) bila harus memindahkan pasien,alat,1.0,1,2025-04-24,A554258
Alat transportasi (tandu) bila harus memindahkan pasien,bahan,1.0,1,2025-04-24,B554258
Alat ttv (2 pcs),alat,1.0,1,2025-04-03,A879179
Alat tulis (pulpen,alat,1.0,1,2025-08-26,A714924
Alat tulis (pulpen,bahan,1.0,1,2025-08-26,B714924
Alat ukur GCS (lembar skala Glasgow Coma Scale),alat,1.0,1,2025-07-30,A751677
Alat ukur TB (1),alat,1.0,1,2025-11-21,A871807
Alat ukur lingkar perut,alat,1.0,1,2025-08-26,A887286
Alat ukur panjang badan / tinggi badan Lampu senter / penlight,alat,1.5,2,2025-07-31,A275382
Alat ukur panjang/tinggi badan,alat,1.0,3,2025-10-28,A324095
Alat ukur panjang/tinggi badan Meteran pita,alat,1.0,2,2025-10-31,A817128
Alat ukur tinggi fundus uteri (meteran pita),alat,1.0,1,2025-10-15,A921965
Alat ukur tinggi/panjang badan Meteran pita (LILA),alat,1.0,1,2025-01-10,A425154
Alcohol Swab (10 pcs),bahan,1.33,3,2025-11-21,B233908
Alcohol swab,alat,1.0,1,2025-11-21,A473706
Alcohol swab,bahan,1.0,3,2025-11-21,B473706
Alcohol swab Hand sanitizer,bahan,2.2,15,2025-11-19,B490163
Alkohol 70,bahan,1.0,5,2025-11-08,B746924
Alkohol 70 (1 pcs) Selimut bayi (2 pcs) Penutup mata (1 pcs) Penutup plastik utk alat vital Alas box (1 pcs),bahan,1.2,5,2025-10-20,B550560
Alkohol 70 (2 pcs),alat,1.0,1,2025-12-09,A141619
Alkohol 70 (untuk area non-luka) Salep antibiotik (jika resep dokter) Balutan modern (foam dressing,bahan,1.0,1,2025-01-12,B975450
Alkohol 70 / NaCl 0,bahan,1.0,1,2025-10-13,B931052
Alkohol 70 / alkohol swab Povidone iodine,bahan,1.0,1,2025-08-20,B408981
Alkohol 70 / antiseptik kulit Plester medis / fiksasi IV Perban elastis kecil (opsional,bahan,1.0,1,2025-10-30,B018298
Alkohol Swab,bahan,1.0,1,2025-01-22,B727654
Alkohol swab,alat,2.5,4,2025-10-09,A628362
Alkohol swab,bahan,1.25,12,2025-09-09,B628362
Alkohol swab (1 kotak),bahan,1.0,2,2025-01-30,B247302
Alkohol swab / alkohol 70 Kapas atau kasa steril Plester / dressing transparan Handscoon bersih,bahan,1.0,1,2025-01-31,B799304
Alkohol swab / antiseptik kulit Underpad / perlak,bahan,1.0,1,2025-06-11,B580026
Alkohol swab / kapas alkohol 70 Sarung tangan bersih (handscoon) Plester / transparan dressing (tegaderm),alat,1.0,1,2025-04-02,A115834
Alkohol swab 5 bh,bahan,2.33,3,2025-12-09,B454815
Alkohol swab 5 bh (1 pcs),alat,1.0,1,2025-08-28,A809136
Alkohol swab 5 bh (1 pcs),bahan,1.0,1,2025-08-28,B809136
Alkohol swab 5 bh Plester transparan Bethadin,alat,2.0,1,2025-10-09,A016989
Alkohol swab 70 Kapas dan kasa steril Gel Doppler,bahan,1.0,4,2025-03-02,B830216
Alkohol swab Kapas Pelumas (jelly) Tempat Tidur Tirai,bahan,1.33,3,2025-01-31,B038816
Alkohol swab Kapas/kasa Plester,alat,1.0,2,2025-11-26,A186999
Alkohol swab Plester / fiksasi ETT Tisu,bahan,1.0,1,2025-08-20,B749860
Alkohol swab Spuit jarum,bahan,1.0,1,2025-12-11,B491853
Alkohol/ alcohol swab,alat,1.0,2,2025-04-17,A256299
Alkohor Swab,alat,1.0,1,2025-08-13,A361580
Ambu Bag,alat,1.0,1,2025-04-30,A022786
Ambu Bag,bahan,1.0,1,2025-04-30,B022786
Ambu bag (3),alat,1.0,1,2025-07-05,A620624
Ambu bag Pantom Dll,alat,1.0,1,2025-02-05,A435342
Ambubag,alat,1.0,5,2025-12-02,A805118
Ambubag 1,bahan,1.0,1,2025-12-02,B643967
Analgetik Antibiotik topikal,bahan,1.0,2,2025-06-02,B772438
Anti septic,bahan,1.33,3,2025-01-22,B681344
Antiseptik (povidone iodine / chlorhexidine),bahan,1.0,2,2025-11-02,B587949
Antiseptik (povidone iodine/ chlorhexidine sesuai indikasi) Plester (paper tape/ transpore) Perban/ balutan elastis,alat,1.0,2,2025-11-26,A558561
Antiseptik (povidone iodine/ chlorhexidine sesuai indikasi) Plester (paper tape/ transpore) Perban/ balutan elastis Tempat sampah medis non-medis,bahan,1.0,2,2025-11-26,B211707
Antiseptik (povidone iodine/chlorhexidine) Lidokain 12 (bila episiotomi/penjahitan) Salep mata bayi (tetrasiklin/eritromisin),bahan,1.0,2,2025-05-02,B683636
Antiseptik kulit,bahan,1.5,6,2025-12-11,B894780
Apron,alat,1.0,1,2025-09-05,A884633
Apron,bahan,1.0,3,2025-10-09,B884633
Apron (3pcs),bahan,1.0,1,2025-04-25,B929926
Apron / jas lab Kacamata pelindung,bahan,1.0,1,2025-10-29,B471311
Apron 3pcs,bahan,1.0,1,2025-04-29,B786262
Apron atau pelindung pakaian (4 pcs),bahan,1.0,1,2025-07-30,B627596
Apron dan masker bila perlu,alat,1.0,1,2025-06-05,A225750
Apron/gaun pelindung Set balut luka steril,alat,1.5,2,2025-06-02,A450869
Apron/gaun pelindung Set balut luka steril,bahan,1.5,2,2025-06-02,B450869
Aquabides,bahan,1.0,1,2025-10-09,B924518
Aquades,alat,1.0,1,2025-05-16,A100077
Aquades,bahan,1.0,3,2025-12-09,B100077
Aquades steril / NaCl 0,bahan,1.0,1,2025-01-12,B744748
Aquadest (2 pcs),bahan,1.0,1,2025-12-09,B991245
Aquadest (2pcs),bahan,1.0,1,2025-02-27,B588950
Aquadres/botol kecil NACL,alat,1.0,2,2025-12-08,A588502
Aquadres/botol kecil NACL,bahan,1.0,2,2025-12-08,B588502
Aquadres/botol kecil NACL Handscoone steril,bahan,1.0,1,2025-11-11,B483195
Aqucheck,alat,1.0,1,2025-03-02,A303836
Autocheck 3in 1,alat,1.0,1,2025-02-27,A643995
B Giving infus set (1 pcs),alat,1.0,1,2025-08-28,A368174
B Giving infus set (1 pcs),bahan,1.0,1,2025-08-28,B368174
B Obat kumur,alat,1.0,1,2025-03-20,A805346
B Tensokrep,alat,1.0,1,2025-07-10,A684842
B Tensokrep 6 bh,alat,1.25,4,2025-12-11,A138692
BCG,bahan,1.0,1,2025-08-13,B170658
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu,alat,1.44,9,2025-11-19,A221430
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu,bahan,1.5,2,2025-10-11,B221430
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu (2 pcs) Waslap (2 pcs),bahan,1.0,1,2025-03-19,B638634
BVM,alat,1.5,6,2025-08-21,A721404
BVM (bag valve mask),alat,1.0,1,2025-02-05,A677372
BVM/Ambu bag (1),alat,1.0,1,2025-05-23,A465559
Baby Oil,bahan,1.5,4,2025-11-19,B133290
Baby oil,alat,2.33,3,2025-10-30,A584219
Baby oil,bahan,1.14,7,2025-11-19,B584219
Backboard Atau Papan Resusitasi,alat,1.0,1,2025-04-30,A618633
Backboard Atau Papan Resusitasi,bahan,1.0,1,2025-04-30,B618633
Bag Valve Mask,alat,1.0,1,2025-07-05,A431134
Bag Valve Mask (Ambu bag) dewasa/anak/bayi,alat,1.0,1,2025-08-20,A120179
Bag and mask (ambu bag neonatus) Stetoskop bayi,alat,1.0,1,2025-08-20,A860499
Bahan,bahan,1.0,1,2025-07-29,B328445
Bahan Batuk Efektif,bahan,1.5,2,2025-12-09,B299170
Bahan Kapas,bahan,1.0,1,2025-11-13,B401891
Bahan Nebulizer,bahan,2.33,3,2025-12-09,B457096
Bahan Perawatan Luka,bahan,1.0,2,2025-04-30,B042576
Bahan Skin Traksi,alat,1.0,1,2025-02-20,A887811
Bahan Skin Traksi,bahan,1.0,2,2025-02-20,B887811
Bahan Suction,bahan,2.33,3,2025-12-09,B541138
Bahan Transfusi,bahan,2.33,3,2025-12-09,B346368
Baju,alat,1.0,2,2025-11-21,A431491
Baju 1,alat,1.0,4,2025-10-17,A614379
Baju bersih,bahan,1.0,1,2025-04-25,B479867
Baju ganti,alat,1.0,1,2025-10-29,A053941
Baju ganti,bahan,1.0,2,2025-10-23,B053941
Baju lansia 5,alat,1.0,1,2025-04-14,A312551
Baju ruangan / celemek,alat,1.0,1,2025-09-16,A379260
Bak / baskom bayi Gayung / cup mandi,alat,1.0,1,2025-08-09,A901217
Bak Instrumen,alat,1.12,8,2025-12-19,A379332
Bak Instrumen (1 pcs),alat,1.0,1,2025-11-20,A992915
Bak instarumen (2 buah) Bengkok (2 buah),alat,1.0,2,2025-02-25,A055249
Bak instrumen,alat,1.53,17,2025-12-12,A681733
Bak instrumen,bahan,1.0,3,2025-12-08,B681733
Bak instrumen (1 pcs),alat,1.8,5,2025-12-19,A467095
Bak instrumen (2),alat,1.0,4,2025-07-30,A074494
Bak instrumen (2buah) Bengkok (2 buah),alat,1.0,1,2025-04-22,A451930
Bak instrumen (spatel lidah,alat,1.0,1,2025-10-09,A523957
Bak instrumen 1 pcs Stetoskop 1,alat,1.0,1,2025-03-10,A225882
Bak instrumen 1pcs Spuit 50 1pcs Perlak 1pcs Handuk 1pcs,alat,1.0,1,2025-04-06,A799947
Bak instrumen 1pcs Spuit 50 1pcs Perlak 1pcs Handuk 1pcs,bahan,1.0,1,2025-04-06,B799947
Bak instrumen 2,alat,1.0,2,2025-08-10,A829506
Bak instrumen berisi cotton bud Pinset telinga,alat,1.0,1,2025-05-02,A469223
Bak instrumen berisi partus set (klem 2,alat,1.0,1,2025-10-17,A103705
Bak instrumen berisi partus set (klem 2 gunting tali pusat 1,alat,2.0,1,2025-12-09,A522729
Bak instrumen berisi pinset anatomi 1 buah dan kom kecil,alat,1.1,21,2025-12-11,A751327
Bak instrumen berisi pinset anatomi 1 buah dan kom kecil,bahan,1.0,6,2025-11-03,B751327
