nama_barang,tipe,rata_rata_per_hari
Alat irigasi telinga dengan penghisap Lorset telinga,alat,1.0
Alat kompres,alat,1.0
Alat makan,alat,1.0
Alat mandi,alat,1.0
Alat mandi 1,alat,1.0
Alat pelindung diri (APD) dasar sarung tangan,alat,1.0
Alat pelindung diri (APD) dasar sarung tangan,bahan,1.0
Alat pemantau dan perekam suhu kontinu Indikator paparan suhu beku,alat,1.0
Alat pemantau suhu,alat,1.0
Alat pemeriksaan dalam Kasa steril,bahan,1.5
Alat penggosok gigi Pakaian bersih Sisir,alat,1.0
Alat pengukur berat badan(1) Abbocath(4),alat,1.0
Alat pengukur tinggi Meteran Tensimeter Stetoskop Termometer Obatan tablet,alat,1.0
Alat pengukur tinggi badan clan panjang badan,alat,1.0
Alat penyimpanan dan transportasi,alat,1.0
Alat peraga gelas berisi susu,alat,1.0
Alat peraga makan dan minum,alat,1.0
Alat perawatan luka,alat,1.0
Alat perawatan luka,bahan,1.0
Alat perawatan luka (1 pcs),alat,1.0
Alat skintraksi (seperti alat penarik kulit),alat,1.0
Alat suction,alat,1.5
Alat suction Alat nebulizer,alat,1.0
Alat tensimeter yang digital (2pcs) Alat tensimeter yang manual (2pcs) Sphygmomanometer air raksa (2pcs) Stetoskop (2pcs),alat,1.0
Alat transportasi (tandu) bila harus memindahkan pasien,alat,1.0
Alat transportasi (tandu) bila harus memindahkan pasien,bahan,1.0
Alat ttv (2 pcs),alat,1.0
Alat tulis (pulpen,alat,1.0
Alat tulis (pulpen,bahan,1.0
Alat ukur GCS (lembar skala Glasgow Coma Scale),alat,1.0
Alat ukur TB (1),alat,1.0
Alat ukur lingkar perut,alat,1.0
Alat ukur panjang badan / tinggi badan Lampu senter / penlight,alat,1.5
Alat ukur panjang/tinggi badan,alat,1.0
Alat ukur panjang/tinggi badan Meteran pita,alat,1.0
Alat ukur tinggi fundus uteri (meteran pita),alat,1.0
Alat ukur tinggi/panjang badan Meteran pita (LILA),alat,1.0
Alcohol Swab (10 pcs),bahan,1.33
Alcohol swab,alat,1.0
Alcohol swab,bahan,1.0
Alcohol swab Hand sanitizer,bahan,2.2
Alkohol 70,bahan,1.0
Alkohol 70 (1 pcs) Selimut bayi (2 pcs) Penutup mata (1 pcs) Penutup plastik utk alat vital Alas box (1 pcs),bahan,1.2
Alkohol 70 (2 pcs),alat,1.0
Alkohol 70 (untuk area non-luka) Salep antibiotik (jika resep dokter) Balutan modern (foam dressing,bahan,1.0
Alkohol 70 / NaCl 0,bahan,1.0
Alkohol 70 / alkohol swab Povidone iodine,bahan,1.0
Alkohol 70 / antiseptik kulit Plester medis / fiksasi IV Perban elastis kecil (opsional,bahan,1.0
Alkohol Swab,bahan,1.0
Alkohol swab,alat,2.5
Alkohol swab,bahan,1.25
Alkohol swab (1 kotak),bahan,1.0
Alkohol swab / alkohol 70 Kapas atau kasa steril Plester / dressing transparan Handscoon bersih,bahan,1.0
Alkohol swab / antiseptik kulit Underpad / perlak,bahan,1.0
Alkohol swab / kapas alkohol 70 Sarung tangan bersih (handscoon) Plester / transparan dressing (tegaderm),alat,1.0
Alkohol swab 5 bh,bahan,2.33
Alkohol swab 5 bh (1 pcs),alat,1.0
Alkohol swab 5 bh (1 pcs),bahan,1.0
Alkohol swab 5 bh Plester transparan Bethadin,alat,2.0
Alkohol swab 70 Kapas dan kasa steril Gel Doppler,bahan,1.0
Alkohol swab Kapas Pelumas (jelly) Tempat Tidur Tirai,bahan,1.33
Alkohol swab Kapas/kasa Plester,alat,1.0
Alkohol swab Plester / fiksasi ETT Tisu,bahan,1.0
Alkohol swab Spuit jarum,bahan,1.0
Alkohol/ alcohol swab,alat,1.0
Alkohor Swab,alat,1.0
Ambu Bag,alat,1.0
Ambu Bag,bahan,1.0
Ambu bag (3),alat,1.0
Ambu bag Pantom Dll,alat,1.0
Ambubag,alat,1.0
Ambubag 1,bahan,1.0
Analgetik Antibiotik topikal,bahan,1.0
Anti septic,bahan,1.33
Antiseptik (povidone iodine / chlorhexidine),bahan,1.0
Antiseptik (povidone iodine/ chlorhexidine sesuai indikasi) Plester (paper tape/ transpore) Perban/ balutan elastis,alat,1.0
Antiseptik (povidone iodine/ chlorhexidine sesuai indikasi) Plester (paper tape/ transpore) Perban/ balutan elastis Tempat sampah medis non-medis,bahan,1.0
Antiseptik (povidone iodine/chlorhexidine) Lidokain 12 (bila episiotomi/penjahitan) Salep mata bayi (tetrasiklin/eritromisin),bahan,1.0
Antiseptik kulit,bahan,1.5
Apron,alat,1.0
Apron,bahan,1.0
Apron (3pcs),bahan,1.0
Apron / jas lab Kacamata pelindung,bahan,1.0
Apron 3pcs,bahan,1.0
Apron atau pelindung pakaian (4 pcs),bahan,1.0
Apron dan masker bila perlu,alat,1.0
Apron/gaun pelindung Set balut luka steril,alat,1.5
Apron/gaun pelindung Set balut luka steril,bahan,1.5
Aquabides,bahan,1.0
Aquades,alat,1.0
Aquades,bahan,1.0
Aquades steril / NaCl 0,bahan,1.0
Aquadest (2 pcs),bahan,1.0
Aquadest (2pcs),bahan,1.0
Aquadres/botol kecil NACL,alat,1.0
Aquadres/botol kecil NACL,bahan,1.0
Aquadres/botol kecil NACL Handscoone steril,bahan,1.0
Aqucheck,alat,1.0
Autocheck 3in 1,alat,1.0
B Giving infus set (1 pcs),alat,1.0
B Giving infus set (1 pcs),bahan,1.0
B Obat kumur,alat,1.0
B Tensokrep,alat,1.0
B Tensokrep 6 bh,alat,1.25
BCG,bahan,1.0
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu,alat,1.44
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu,bahan,1.5
BH yang menyokong (tanpa kawat) dan pakaian ganti ibu (2 pcs) Waslap (2 pcs),bahan,1.0
BVM,alat,1.5
BVM (bag valve mask),alat,1.0
BVM/Ambu bag (1),alat,1.0
Baby Oil,bahan,1.5
Baby oil,alat,2.33
Baby oil,bahan,1.14
Backboard Atau Papan Resusitasi,alat,1.0
Backboard Atau Papan Resusitasi,bahan,1.0
Bag Valve Mask,alat,1.0
Bag Valve Mask (Ambu bag) dewasa/anak/bayi,alat,1.0
Bag and mask (ambu bag neonatus) Stetoskop bayi,alat,1.0
Bahan,bahan,1.0
Bahan Batuk Efektif,bahan,1.5
Bahan Kapas,bahan,1.0
Bahan Nebulizer,bahan,2.33
Bahan Perawatan Luka,bahan,1.0
Bahan Skin Traksi,alat,1.0
Bahan Skin Traksi,bahan,1.0
Bahan Suction,bahan,2.33
Bahan Transfusi,bahan,2.33
Baju,alat,1.0
Baju 1,alat,1.0
Baju bersih,bahan,1.0
Baju ganti,alat,1.0
Baju ganti,bahan,1.0
Baju lansia 5,alat,1.0
Baju ruangan / celemek,alat,1.0
Bak / baskom bayi Gayung / cup mandi,alat,1.0
Bak Instrumen,alat,1.12
Bak Instrumen (1 pcs),alat,1.0
Bak instarumen (2 buah) Bengkok (2 buah),alat,1.0
Bak instrumen,alat,1.53
Bak instrumen,bahan,1.0
Bak instrumen (1 pcs),alat,1.8
Bak instrumen (2),alat,1.0
Bak instrumen (2buah) Bengkok (2 buah),alat,1.0
Bak instrumen (spatel lidah,alat,1.0
Bak instrumen 1 pcs Stetoskop 1,alat,1.0
Bak instrumen 1pcs Spuit 50 1pcs Perlak 1pcs Handuk 1pcs,alat,1.0
Bak instrumen 1pcs Spuit 50 1pcs Perlak 1pcs Handuk 1pcs,bahan,1.0
Bak instrumen 2,alat,1.0
Bak instrumen berisi cotton bud Pinset telinga,alat,1.0
Bak instrumen berisi partus set (klem 2,alat,1.0
Bak instrumen berisi partus set (klem 2 gunting tali pusat 1,alat,2.0
Bak instrumen berisi pinset anatomi 1 buah dan kom kecil,alat,1.1
Bak instrumen berisi pinset anatomi 1 buah dan kom kecil,bahan,1.0
Bak instrumen berisi spatel lidah (1bh),alat,1.25
Bak instrumen berisi spatel lidah (1bh),bahan,1.0
Bak instrumen berisi spatel lidah (Ibh) spekulum hidung (Ibh),alat,1.0
Bak instrumen steril,alat,1.0
Bak instrumen steril berisi kasa dan kom,alat,1.0
Bak instrumen steril berisi kasa dan kom (1pcs),alat,1.0
Bak instrumen yg berisi,alat,1.0
Bak instrument bersih (1),alat,1.0
Bak mandi,alat,1.0
Bak mandi Waslap (5 buah) Perlak,alat,1.5
Bak spuit,alat,1.0
Bak spuit,bahan,1.0
Baki,alat,1.57
Baki (3 buah),alat,1.0
Baki (4 pcs),alat,1.17
Baki (Tempat alat),alat,1.0
Baki (Tempat alat),bahan,1.0
Baki (Tempat alat) Perlak,alat,1.0
Baki 1,alat,1.0
Baki 1 buah,alat,1.33
Baki 2,alat,1.25
Baki alas,alat,1.0
Baki alas,bahan,1.0
Baki berisi,alat,1.94
Baki berisi,bahan,1.0
Baki dan alasnya,alat,1.0
Baki dan alasnya (2buah),alat,1.0
Baki dgn pengalas,alat,1.0
Balut Tekan (Pressure Dressing) Alat bantu,alat,1.5
Balut Tekan (Pressure Dressing) Alat bantu,bahan,1.5
Balutan Infus Transparant (5 pcs),bahan,1.0
Balutan Transparan,bahan,1.5
Balutan luka,alat,1.0
Balutan luka,bahan,1.0
Balutan transparan (transparent dressing),alat,1.0
Balutan transparan (transparent dressing),bahan,1.0
Bangku kecil untuk pispot / trolly,alat,1.0
Bantal,bahan,1.0
Bantal (untuk menyangga kepala,alat,1.5
Bantal (untuk menyangga kepala,bahan,1.5
Bantal Selimut,bahan,1.0
Bantal penyangga ekstremitas Alas perlak/plastik,alat,1.0
Bantalan busa / kapas gulung (pelindung kulit),bahan,1.38
Bantalan conter traksi atau bantal,alat,1.0
Bantalan contertraksi/ bantal,alat,1.0
Bantalan contertraksi/ bantal,bahan,1.0
Bantalan contertraksi/ bantal (1 pcs),alat,1.0
Bantalan/kapas pelindung (padding),bahan,1.71
Baskom,alat,1.0
Baskom (2 buah),alat,1.0
Baskom (2 pcs),alat,1.33
Baskom 2 bh,alat,1.0
Baskom 2 buah berisi air ( satu untuk bilas sabun ) bila ada,alat,1.0
Baskom Handuk kecil Termometer,alat,1.0
Baskom Termometer Handuk kecil Kasa,alat,1.0
Baskom berisi air DTT untuk membersihkan ibu,alat,1.33
Baskom berisi air DTT untuk membersihkan ibu,bahan,1.0
Baskom berisi air hangat dua buah Waslap,alat,1.0
Baskom mandi Handuk mandi Pakaian bersih pasien Perlak dan alas Ember air kotor Nierbekken / wadah,alat,1.0
Baskom mandi Handuk mandi Perlak dan alas Ember air kotor Nierbekken / wadah,alat,1.0
Baskom plastik 2,alat,1.0
Baskom plastik berisi klorin 0,alat,1.11
Baskom plastik berisi klorin 0,bahan,1.0
Baterai,bahan,1.33
Baterai AA,bahan,1.5
Baterai Jam,bahan,1.0
Baterai handscoon bersih masker,bahan,1.0
Baterai handscoon masker,bahan,3.0
Baterai jam Baterai biasa,bahan,1.0
Baterai jam untuk stopwatch,bahan,1.5
Baterai tisu kasa,bahan,1.0
Beban 5 kg,alat,1.0
Beban 5 kg,bahan,1.0
Beban 5 kg (1 pcs),alat,1.0
Bed pan (2 pcs) dan bengkok 2 pcs) Tempah sampah medis (2 pcs) Tempat sampah non medis 2 pcs) Bak instrumen berisi pinset anatomi 1,alat,1.0
Bed pan 1 buah dan bengkok 1 buah,alat,1.5
Bed pan 1 buah dan bengkok 1 buah Tempah sampah medis 1 buah Tempat sampah non medis 1 buah,alat,1.18
Bed pan/pispot 1 buah dan bengkok 1 buah,alat,1.0
Bed side rail (pengaman tempat tidur) Kursi roda / brankar,alat,1.0
Bed side rail (pengaman tempat tidur) Lampu tidur / lampu redup,alat,1.0
Bed side rail (pengaman tempat tidur) Stetoskop,alat,1.0
Bedak,alat,1.0
Bedak / skin protector (mencegah iritasi),bahan,1.5
Bedong bayi,bahan,1.0
Bell bila ada,alat,1.0
Benang DTT/Steril /umbilical klem,bahan,1.0
Benang jahit (hecting catgut/chromic) Lidokain (bila episiotomi/penjahitan) Pelumas (lubricant jelly) Oksitosin,bahan,1.0
Benang jahit jarum hecting Plester,bahan,1.0
Benda beraroma (kopi/vanila) Sarung tangan medis,bahan,1.0
Bengkok,alat,1.65
Bengkok,bahan,1.17
Bengkok ( 2 pcs),alat,1.0
Bengkok (1 pcs),alat,1.2
Bengkok (2 pcs),alat,1.8
Bengkok (2 pcs) Tempat kain kotor,alat,1.0
Bengkok (2),alat,1.0
Bengkok (2pcs),alat,1.0
Bengkok (3 buah),alat,1.0
Bengkok (4 pcs),alat,1.0
Bengkok (4),alat,1.0
Bengkok (4) Spalk k(4) Stetoskop(4) Tensimeter(4),alat,2.0
Bengkok (Kantong sampah,alat,1.0
Bengkok (Kantong sampah),alat,1.0
Bengkok (Kantong sampah),bahan,1.0
Bengkok (Kantong sampah) (1 pcs),alat,1.0
Bengkok (Kantong sampah) (1 pcs),bahan,1.0
Bengkok (Kantong sampah) Buku catt obat,bahan,1.0
Bengkok (alat bantu khusus) Alas bokong atau perlak,alat,1.0
Bengkok (alat bantu khusus) Alas bokong atau perlak Selimut hangat,alat,2.0
Bengkok (kantong sampah),alat,3.67
Bengkok (kantong sampah),bahan,2.4
Bengkok (kidney dish) Duk lubang steril Sarung tangan steril Sarung tangan non-steril,alat,1.0
Bengkok (nierbekken) Baskom steril,alat,1.5
Bengkok (nierbekken) Duk steril,alat,1.0
Bengkok / nierbekken,alat,1.0
Bengkok 1,alat,1.0
Bengkok 1 buah,alat,1.55
Bengkok 1 buah,bahan,1.5
Bengkok 1 buah Tempat kain kotor Sampiran/skerem,alat,1.0
Bengkok 1 buah Tempat kain kotor Sampiran/skerem sop teknik laktasi,alat,1.0
Bengkok 1pcs,alat,1.0
Bengkok 1pcs,bahan,1.0
Bengkok 2,bahan,1.0
Bengkok 2 buah (1 untuk VH,alat,1.25
Bengkok 2 buah (1 untuk VH,bahan,1.0
Bengkok 2 pcs,alat,1.14
Bengkok 2 pcs Infus set 2 pcs Iv cath 2 pcs Spet 1 cc 1 pcs,alat,1.0
Bengkok 3,bahan,1.25
Bengkok 4,alat,1.0
Bengkok Handuk,alat,1.0
Bengkok Pengalas,bahan,2.0
Bengkok Sampiran,alat,1.0
Bengkok berisi larutan lisol 2-3,alat,1.0
Bengkok dengan cairan desinfektan,alat,2.6
Bengkok dengan cairan desinfektan,bahan,2.4
Bengkok dengan cairan desinfektan Bengkok (kantong sampah) Sputum pot,alat,2.0
Berisi aquabidest steril untuk,bahan,1.0
Berisi aquabidest steril untuk mengembangkan balon kateter Air steril / NaCl 0,bahan,1.0
Betadine,alat,1.0
Betadine,bahan,1.45
Betadine (1 pcs),bahan,1.0
Bethadin,bahan,2.33
Bethadin (1 pcs),alat,1.0
Bethadin (1 pcs),bahan,1.0
Bethadine (bila perlu) bila mengalami iritasi,alat,1.0
Bidai,alat,1.0
Bidai (5 pcs),alat,1.0
Bidai (Splint),alat,1.0
Bidai (kayu / bidai standar / bidai vakum),bahan,1.0
Bidai (splint) berbagai ukuran Perban elastis,alat,1.0
Bidai (splint) berbagai ukuran Perban elastis,bahan,1.0
Bidai (splint) bisa dari kayu,alat,1.0
Bidai (splint) bisa dari kayu,bahan,1.0
Bidai kecil / arm board,alat,1.0
Bila perlu obat desinfektan,alat,1.0
Bioplacenton,bahan,1.0
Bisolvon,alat,2.5
Bisolvon,bahan,2.4
Blood set (2),alat,1.0
Bola,alat,1.0
Bola kecil Balok / kubus Pensil / krayon Buku gambar Gelas plastik,bahan,1.0
Bola kecil Kubus / balok Pensil / krayon Gelas plastik,bahan,1.0
Bola mainan,alat,1.0
Botol berisi air untuk cebok,alat,1.0
Box bayi (1),alat,1.2
Box bayi 1,alat,1.0
Brosur/leflet pre intra dan post operasi,alat,1.0
Buku KIA,bahan,1.0
Buku KIA / KMS,alat,1.0
Buku KMS meja tempat tidur kursi,alat,2.0
Buku catatan obat,alat,2.5
Buku catatan obat,bahan,2.4
Buku catatan suhu,alat,1.0
Buku catt,alat,1.0
Buku catt,bahan,1.0
Buku catt obat,alat,1.8
Buku catt obat,bahan,1.0
Buku catt obat (1 pcs),alat,1.0
Buku catt obat (1 pcs),bahan,1.0
Buku kohort bayi,alat,1.0
Buku pedoman MTBS Formulir / lembar MTBS Stetoskop pediatrik Tensimeter anak Termometer,alat,1.0
Buku/benda cetak Garpu tala (512 Hz) Otoskop,alat,1.0
Buli-buli panas dan sarungnya,alat,1.0
Burnazin,bahan,1.0
C Borax gliserin,alat,1.0
C Giving tranfussion set (1 pcs),alat,1.0
C Giving tranfussion set (1 pcs),bahan,1.0
C Kruk,alat,1.2
CD pre,alat,1.0
CVP,alat,1.0
Cairan Infus,bahan,1.0
Cairan Infus RL,bahan,1.0
Cairan NaCL,bahan,1.0
Cairan NaCl,bahan,1.0
Cairan NaCl 0,alat,1.5
Cairan NaCl 0,bahan,2.0
Cairan Nacl Sabun,bahan,1.0
Cairan antiseptic atau NaCl 0,alat,1.0
Cairan antiseptic atau NaCl 0,bahan,1.0
Cairan antiseptik,bahan,1.0
Cairan antiseptik (1pcs),bahan,1.0
Cairan desinfektan,alat,1.33
Cairan desinfektan,bahan,2.3
Cairan desinfektan dan peralatan,bahan,1.0
Cairan disinfektan 2,bahan,1.0
Cairan glukosa oral / IV (hipoglikemia),bahan,1.0
Cairan infus,alat,2.5
Cairan infus,bahan,2.2
Cairan infus (NaCL),alat,1.0
Cairan infus (NaCL),bahan,1.0
Cairan infus (NaCl 0,bahan,1.0
Cairan infus 1pcs Kapas dan alkohol Plester tissue,bahan,1.0
Cairan infus Cairan darah Obat,bahan,1.0
Cairan infus RL tisu,bahan,1.5
Cairan infus sesuai program (NaCl 0,alat,1.0
Cairan infus(4) RL dan NACl Sarung tangan(1),bahan,2.0
Cairan intravena (RL,bahan,1.44
Campak Rubella,bahan,1.0
Campak-Rubela,bahan,1.0
Canule suction (1),alat,1.0
Capnography (bila tersedia),alat,1.0
Celana dalam ibu yang bersih,alat,1.08
Celana dalam ibu yang bersih,bahan,1.0
Celana dalam ibu yang bersih Timbangan berat badan dan pengukur TB,alat,1.2
Celemek,alat,1.0
Celemek (schort) Perlak,alat,2.0
Celemek plastik,alat,1.33
Celemek plastik,bahan,1.0
Ceret atau termos berisi air panas,alat,1.0
Cermin inspeksi (optional,alat,1.0
